el,E_ground,E_fcc,dE_struct
Ru,-9.244600167431992,-9.210530050796384,-0.03407011663560766
Ni,-5.731897270123934,-5.731897270123933,-8.881784197001252e-16
Co,-7.084391392385502,-7.0716831611188775,-0.012708231266624459
Fe,-8.390862870672679,-8.380424391960078,-0.01043847871260084
Cu,-4.0848211628080575,-4.084820732628866,-4.301791918237541e-07
